1,-1,757,692,96,209,1,-1,-1,-1
1,-1,667,682,100,222,1,-1,-1,-1
1,-1,343,818,127,258,1,-1,-1,-1
1,-1,806,524,71,172,1,-1,-1,-1
1,-1,196,814,141,265,1,-1,-1,-1
1,-1,1164,605,69,197,1,-1,-1,-1
1,-1,953,605,79,199,1,-1,-1,-1
1,-1,1433,511,60,98,1,-1,-1,-1
1,-1,1650,833,100,243,1,-1,-1,-1
1,-1,1025,608,85,196,1,-1,-1,-1
1,-1,1469,641,81,204,1,-1,-1,-1
1,-1,1585,675,110,236,1,-1,-1,-1
1,-1,1048,436,50,124,0,-1,-1,-1
1,-1,1091,547,77,178,0,-1,-1,-1
1,-1,1504,514,52,101,0,-1,-1,-1
1,-1,862,533,63,158,0,-1,-1,-1
1,-1,1670,668,83,214,0,-1,-1,-1
1,-1,1229,441,67,110,0,-1,-1,-1
1,-1,874,467,56,137,0,-1,-1,-1
1,-1,1426,596,78,181,0,-1,-1,-1
1,-1,788,491,54,133,0,-1,-1,-1
1,-1,1233,592,60,187,0,-1,-1,-1
1,-1,1005,507,64,144,0,-1,-1,-1
1,-1,738,472,45,103,0,-1,-1,-1
1,-1,815,455,53,125,0,-1,-1,-1
1,-1,763,454,52,111,0,-1,-1,-1
1,-1,1068,509,54,145,0,-1,-1,-1
1,-1,919,540,54,156,0,-1,-1,-1
1,-1,1361,1022,100,57,0,-1,-1,-1
1,-1,950,520,58,142,0,-1,-1,-1
2,-1,667,684,99,223,1,-1,-1,-1
2,-1,807,524,71,171,1,-1,-1,-1
2,-1,757,692,96,208,1,-1,-1,-1
2,-1,345,815,130,261,1,-1,-1,-1
2,-1,198,813,142,266,1,-1,-1,-1
2,-1,953,607,77,198,1,-1,-1,-1
2,-1,1168,606,68,197,1,-1,-1,-1
2,-1,1027,609,84,196,1,-1,-1,-1
2,-1,1433,511,60,99,1,-1,-1,-1
2,-1,1580,676,112,233,1,-1,-1,-1
2,-1,1653,832,103,245,1,-1,-1,-1
2,-1,1469,639,78,204,0,-1,-1,-1
2,-1,1048,436,50,123,0,-1,-1,-1
2,-1,1503,514,53,102,0,-1,-1,-1
2,-1,1089,547,78,178,0,-1,-1,-1
2,-1,1231,441,66,109,0,-1,-1,-1
2,-1,1666,669,82,210,0,-1,-1,-1
2,-1,863,534,62,159,0,-1,-1,-1
2,-1,1233,592,59,189,0,-1,-1,-1
2,-1,1430,598,80,178,0,-1,-1,-1
2,-1,874,467,54,131,0,-1,-1,-1
2,-1,785,488,52,133,0,-1,-1,-1
2,-1,1006,510,64,144,0,-1,-1,-1
2,-1,815,457,54,127,0,-1,-1,-1
2,-1,738,473,45,107,0,-1,-1,-1
2,-1,767,452,50,113,0,-1,-1,-1
2,-1,1069,512,53,145,0,-1,-1,-1
2,-1,1364,1022,99,57,0,-1,-1,-1
2,-1,916,540,60,154,0,-1,-1,-1
2,-1,948,520,61,150,0,-1,-1,-1
3,-1,348,815,129,262,1,-1,-1,-1
3,-1,755,694,98,208,1,-1,-1,-1
3,-1,667,685,100,222,1,-1,-1,-1
